iban,amount_in_pence
GB2756386333762976,1023435
GB7197158194781194,553509
GB4717308619277390,635368
GB0304988291440616,1274814
GB5224163633126274,359205
GB5650078775258124,2995347
GB1315157834855568,264258
GB8119709095675682,451115
GB6149338121095950,2750430
GB0182732722917117,2250312
GB8809110415665808,2582511
GB9662932284459045,2049839
GB5719645655856951,3185672
GB9597861100187239,2511280
GB2184991268041171,1540672
GB4212752956367261,2367683
GB8771359627523928,3034211
GB4268182566770771,699637
GB9738851698776814,973073
GB0328544884484414,2859780
GB8266925246367199,43129
GB3471286257051555,2225360
GB8748022764988848,3105200
GB8948977779113560,3394669
GB0707080800939528,620351
GB9983582633600975,1197338
GB7663397362078710,3488022
GB1814650826673805,1466363
GB4195026267049606,2044760
GB2310904614340399,942209
GB2064237705781146,854177
GB5349995110778596,1448455
GB1188794532579822,80801
GB0854102786031978,1363375
GB4163808613482956,3886846
GB3533259435695578,778855
GB8005255593236578,958498
GB8597910869982208,596067
GB1901067109826511,2900898
GB5364263899963198,2919162
GB6414102800103405,1164847
GB5278645920790641,2372506
GB1174925151257225,3260236
GB3765568543844713,1768651
GB2649974784891070,2325237
GB1403698073762125,1889305
GB8293622937154776,408425
GB5262678836642705,2551230
GB3697919736709901,757245
GB6115584907478383,2601243
GB0670449068315096,614367
GB4730345695104287,1452193
GB7306922341153256,2087533
GB2449474244500487,3092066
GB9282784617945674,597568
GB4024460682534531,1446320
GB8262667220073477,2101784
GB8880191011288849,1893619
GB4215274544574799,443833
GB7675391269940220,109202
GB4030680181902749,493541
GB8917664312946726,2650008
GB4818391919784121,922783
GB4444933865147298,314108
GB3128848774889227,276423
GB3050132798723301,158683
GB8189124791557613,1900718
GB5087517062127499,145951
GB1831775630166975,365575
GB4248938360957536,2169632
GB7732453334934928,1739368
GB4935161703797604,470053
GB1103244415412299,3360825
GB4480343662549027,76658
GB2416114875866381,538238
GB0550054087794031,2863761
GB0111846945873443,3030988
GB1459324799824647,969700
GB9022353363025762,2641081
GB0559760412408406,2790988
GB9047125998046791,1025352
GB7905752321367865,2760546
GB3782132010086517,3262083
GB5088632141591960,2894154
GB0318694183423174,2194762
GB7784254369886498,163173
GB1252559744618407,2901838
GB0344579021847901,3309412
GB8353377001044340,1853648
GB5978388770131756,3227781
GB7947511134196741,2915394
GB7225784399891068,1108101
GB7542433895701480,411790
GB3682348779487593,176925
GB7833517236850718,663933
GB2012618764282589,1461075
GB4511022354401130,1429340
GB3445405279576069,2262467
GB2087655211844105,1697110
GB0344456854119764,3849934
